Total missing description_fr: 695
  have description_en: 374
  no description_en: 321

=== NO description_en - need invented descriptions ===
Antelope-like Animal (Small) | Animal de type antilope (petit) | Herbivores and Other Normally Non-Aggressive Animals | Lv1 | sz=M | OB:20SHo80/00STs20
-10); 7'-8'; use Super Large creature critical table.

--- Steel Sphinx ---
rge creature critical table. Super Large creature critical table.

--- Stone Wyvern ---
each are quick-thinking and quick-tempered. Dark savants have deep time they deliver hits (wood -5); 30% are winged; 20'-40' body, voices and eyes like the void of space; they have dark, gloomy 25'-50

--- Crystal Golem ---
time they deliver hits (wood -30, bone -10); all energy attacks

--- Demon Golem ---
from, see other golems of same type); casts evil magician spells, 3xlvl PP; 5'-8'. ~-=--~:::=;:-:--;~~~-- FALCON CONSTRUCT, lcE ELEMENTAL SERVANT.

--- Mite Golem ---
They are made from a single diamond- a large diamond from , see other go/ems of same type); J'-4'. which must be magically created.

--- Wood Golem ---
critical severity by two levels. A demon golem can be made from any material that any other A collosus is a giant golem made of iron (other materials are golem is made from.

--- Eye Entity - Minor ---
) 3xlday, and rituals. Viles were originally made by the rhodintor (see Entities all "Evil Eye" (Warlock base list) spells with gaze, 1 spell!

--- Eye Entity - Lesser ---
) 3xlday, and rituals. Viles were originally made by the rhodintor (see Entities all "Evil Eye" (Warlock base list) spells with gaze, 1 spell!

--- Eye Entity - Greater ---
) 3xlday, and rituals. Viles were originally made by the rhodintor (see Entities all "Evil Eye" (Warlock base list) spells with gaze, 1 spell!

--- Eye Entity - Major ---
) 3xlday, and rituals. Viles were originally made by the rhodintor (see Entities all "Evil Eye" (Warlock base list) spells with gaze, 1 spell!

--- Solaar ---
. 25H 80, Run/15 MF/VF 200.H 12(50)* lS0LBa(EHeat]/Special M/II@ J - J Domin(Hl) Vile !OD 120 Dash/25 BF/BF MILA@ 200H 4(150) 200)-ICl/lS0LBi !-10 - F Berserk(LO) • - Special.

--- Vile ---
Viles are either all white or all black. They are humanoids with long hair growing only from the back of their heads.

--- Acarva ---
It also has long claws to fight with but cruel; bite drains 1-3 Con pts or one life essence level ( see as well. It is encountered on this plane in the places demons RMC ll); 6'-7' tall; lessen crit s

--- Acid Demon ---
It is completely amphibious, with no secretion; average intelligence; touch causes extra acid crit restrictions as to how long it can be in or out of the water. (RMC II!

--- Corvox ---
This creature wanders abroad, intelligent but cruel; spells (2xlvl PP); 5'-7' tall; lessen crit without having a permanent lair, looking for prey. severity by I level.

--- Grumoz ---
It uses these tall; lessen crit severity by I level. tentacles to grapple foes, as well as for casting spells; it knows all Huntarr: (-)-EK§#-7; Type IV; lion-headed humanoid; Evil Mentalist base list

--- Ice Demon ---
Other entities have been in snow and ice; intelligent but cruel; spells (2xlvl PP); touch provided here to provide diversity. Most come from continuums inflicts extra cold crit; immune to cold; 6'-7' 

--- Plague Demon ---
gence; touch causes disease; 8'-9' tall; use Large creature crit Note that entities from other planes, like elementals and golems, table. are not effected by poisons or spells meant to hann or effect 

--- Shade Demon ---
creature crit table.

--- Smoke Demon ---
1 DEMONS (I time/hour for JO min); intelligent but cruel; 5'-6' tall; reduce A GM has many options when it comes to adding demons to !us crit severity by I level. campaign.

--- Storm Demon ---
They may also be the souls of the evil dead, twisted form; highly intelligerrt but cruel; spells (4xlvl PP); immune to and malformed into creatures of hatred and spite. Or they can elements; 5'-6' ial

--- Thorned Demon ---
es; low intelligence; throws spines (lcb 1-4/rnd); in this book require a little work. If they are simply creatures native causes 1-4 "A" puncture crits when it throws body on foe (bash to a plane ali

--- Tlaque ---
gence; screeching sruns foes for 1 rnd!I 0% RR failure; 6'-7' A GM should work out which demons exist in his campaign, and tall; reduce crit severity by 1 level. which demons come from where.

--- Demon Drake ---
They can cast spells from the bolt range 400'; cone length 200'; cone base 75'; causes cold "Weather Ways" (open chan.) list, and any other spell having to do and heat crits); casts spells (4xlvl PP);

--- Demonic Protoplasm ---
"Each spells; can create other demons; use Large creature critical head also breathes a certain type of breath weapon-fire, water or table. ice in bolt or cone forrn (treat a water cones as a cold bal

--- Demon Scourge ---
fear; 6'-8' tall; use large crit addition to attack (3xlday, if victim fails RR. portion of body hit table.

--- Eraditor ---
Cleric), and "Darkness" (Evil Magician). Resembling gigantic With three eyeless heads on long snake-like necks and three flies, they are horrible to behold and disgusting to smell muscular legs all sp

--- Terrorite ---
Note however that they will usual! y attempt (blood drain); spells (3xlvl PP); immtlne to heat and cold; to flee if a fight goes against them.

--- Thonis ---
e., a critical table. puncture or slash crit, anyone within 5' must make an RR or A thonis is an extremely powerful demon that rarely leaves its take an "A" acid critical); 5.5'-6' tall; reduce crit s

--- Maleskari ---
fear; spells (6xlvl PP); critical table. strength yields x3 damage; touch kills 3xlday (RR); all within 10' must make an RR or receive a "Major Pain" spell; magic These powerful demons are lieutenants

--- Sith ---
Jear; all with so· receive a ..C" cold dieties can use "Demonic Gate" spells to summon champions critical; all within 20' must make an RR or lose 112 PP and hits; instead, if it would be appropriate t

--- Yrrigav ---
E) nerve poison; all within 100' must make an RR vs. fear; strength yields x3 damage; spells (6xlvl PP); immune to cold and heat; 10' tall; use Super La.rge creature critical table.

--- Absorber ---
Coming through the newly made hole 1s a large crit); slain victims are "absorbed" in one round. If enough .

--- Blacar ---
magical weapons needed to harm; 1 '-1 .5' diameter; reduce Thought to be related to earth elementals, crystyls are actually critical severity by 1 level. large crystal fonnations, having no uniform st

--- Clostoph ---
C) being treated as "enemies". All evil beings struck by high cham- nerve poison; magical weapon neeaed to harm; acidic saliva pions are inflicted with holy fire doing both additional holy and adds an

--- Dictic ---
These insects are from some other plane, obviously where the natural conditions are much harsher than those here. They are unintelligent as are the insects we are familiar with, but they will eat anyt

--- Discord ---
They are intelligent and icebolt (!Bolt; 1xlrnd; JOO' range; no cold crits); can project powerful in their borne dimension, but in ours their power and very loud sounds in a 20' R, stunning as a "Mind

--- Dreadwing ---
These horrible beasts are either huge, pitch black or blood-red pterodactyl-like creatures, although they are capable of full flight and not just gliding. They are sometimes called demon mounts, altho

--- Flame Beast ---
These alien beasts resemble giant rodents enshrouded in flame. The plane they are native to is evidently a fiery one, although there is no known connection between flame beasts andfi.re elementals.

--- Gem Entity ---
type of djctic. Theory has it that they simply wander into this world Gem entities come from a universe very alien to ours.

--- Hoard ---
It can also eliminate all as a ''Stunning" spell if RMC lll is not used); ignores slash and sounds within 20' of its body. Note ihat itcan only use these powers puncture crits; 12'; use Large creature

--- Lithaba ---
Lithaba, also known as Lightning Balls, resemble light servants as they are small balls of intense light, composed entirely of

--- Mrem ---
All nycorac know the concussion hits from all within 10' R ; 4'-5' in diameter. "LightLaw" list and will use these spells to attack their prey.

--- Nightwing ---
A board colony can divide itself in half, each half being essence level (see RMC ll); can become non-solid for 10 able to act independently and being half the size of the original with minutes per day

--- Nycorac ---
When they attack foes, or when they are struck in in all mental stats; non-solid form; invisible at all times; magic combat, they ctischarge large amounts ofenergy. They "die" when weapons needed to h

--- Skeletal Tyrannosaurus ---
all within JOO' must make an RR vs. fear; all within JO' lose 2 This undead creature is extreme!

--- Spectral Tyrannosaurus ---
No one knows how the first vampiric drake came to be - within sight must make an RR vs. fear ; all within 20' take "B" whether there was once a vampire powerful enough to slay a cold criticals, touch 

--- Vampiric Drake ---
Note that not all undead monsters will necessarily cone length 100'; cone base 30': bolt range 200' treat as be as powerful as these examples. coldbreath if RMC ll/ is not used); spells (3xlvl PP); do

--- Vampiric Gorgon ---
(duration depends on RR failure: mild, 1 -JOO minutes, moder- These spirits°'of the dead were once powerful dinosaurs, but now ate, 2-20 hours, serious, 1 -JOO days, extreme, 1-100 years); roam the ea

--- Vampiric Unicorn ---
fear at -25; can take whatever frightening form it hits; casts spells (3xlvl PP); touch drains 2-4 Con pts; horn desires; non-solid form; magic weapons needed to harm; attack inflicts additional cold 

--- Vampiric Werewolf ---
They often protect the casts Mentalist base spells (2xlvl PP); touch drains 1-3 Con living trees from those who would do them harm, or sometimes pts; wounds have a 10% chance of infecting the victim w

--- Bloodbeast - Lesser ---
This undead entity is created when a victim dies a remarkably bloody death. It appears as an animate corpse that is completely covered in fresh blood.

--- Bloodbeast - Greater ---
This undead entity is created when a victim dies a remarkably bloody death. It appears as an animate corpse that is completely covered in fresh blood.

--- Bone Golem ---
lrnd JO' R touch drains 2-5 Con pts; strength yields x2 damage; use Large (RR); 6'-9' tall; reduce critical severity by 2 levels. creature critical table.

--- Deathwoode ---
wrge creature critical table. Th.e spirits of slain animate trees, these beings are vengeful and

--- Desert Spirit ---
Minor dirges know the lists to causes sleep to all who fail an RR within JO' R; ignores slash 5th level, lesser to l 0th level, greater to 20th level, and major dirges andpuncture crits; reduce critic

--- Dirge - Minor ---
30x/day; Bolt range 300'; Cone length 150'; Cone base form -minor: drain 1 Con pt!md 10' Rafter 3 rounds: reduce 60', inflicts cold crits); touch drains 3 Con pts.; spells (3xlvl critical severity by 

--- Dirge - Lesser ---
30x/day; Bolt range 300'; Cone length 150'; Cone base form -minor: drain 1 Con pt!md 10' Rafter 3 rounds: reduce 60', inflicts cold crits); touch drains 3 Con pts.; spells (3xlvl critical severity by 

--- Dirge - Greater ---
30x/day; Bolt range 300'; Cone length 150'; Cone base form -minor: drain 1 Con pt!md 10' Rafter 3 rounds: reduce 60', inflicts cold crits); touch drains 3 Con pts.; spells (3xlvl critical severity by 

--- Dirge - Major ---
30x/day; Bolt range 300'; Cone length 150'; Cone base form -minor: drain 1 Con pt!md 10' Rafter 3 rounds: reduce 60', inflicts cold crits); touch drains 3 Con pts.; spells (3xlvl critical severity by 

--- Disembodied Head ---
fear; bite drains 1-4 pts. ofCon and 10-20 appearing as a fluid sand sculpture.

--- Giant Skull ---
The Monks that do so creature critical table. become an e xtreme!y rare undead type known as the monastic lich.

--- Gloombird ---
5'-3' long; reduce critical severity by] level. depression crits (see RMC Ill); 1.5'-2 .5' wingspan; reduce This horrible creature is the undead resuit ofa man who had died critical severity by 1 leve

--- Ghoulking ---
infected; reduce critical severity by two levels. These carrion-eating, winged undead fly from their caves in the Extremely powerful ghouls, these undead beings will usually rugged hills to dine on th

--- Iron Skeleton ---
These monsters are normal animate skeletons that have been coated with molten iron. The iron was magically sealed to their bones so that every part is coated in a protective casing.

--- Living Ghoul ---
These beings are not really ''undead", but rather are the depraved humans who have decided to give up life in normal society and live in cemeteries, to feed upon the corpses of the newly dead. Their d

--- Monastic Lich ---
delivers a "C" cold critical; touch drains 5 Con pts; Monk base spells (4xlvl PP); use Large creature critical table.

--- Necros ---
F) muscle, nerve, or circulatmy poison (equal chance for each);

--- Phantom Steed ---
Major within 75' (RR); breathes vapors that act as a cold bolt (/Bolt; skullbats have the skulls of large beasts and beings (giants, small 15' range; all criticals are cold); carrying capacity 250 lbs

--- Roaming Hand ---
It dwells in cemeteries and ruins, fonned from the foul no,t let go of a grappled victim until he dies or the hand is stench ofdeath and the rot ofcorpses. Many undead spirits animate destroyed; reduc

--- Rotting Corpse ---
A (RR); only magic weapons will harm; regenerates 8 hits/round; skullpack is a group a 4-16 skulls that can magically fly. They can reduce critical severity by 1 level.

--- Shadow Assassin - Lesser ---
The spirits of dead assassins and nightblades, these entities are often conjured up by foul necromancers and dark priests or magi to slay their enemies. These beings are shadowy in form, some- times h

--- Shadow Assassin - Greater ---
The spirits of dead assassins and nightblades, these entities are often conjured up by foul necromancers and dark priests or magi to slay their enemies. These beings are shadowy in form, some- times h

--- Shadow Assassin - Major ---
The spirits of dead assassins and nightblades, these entities are often conjured up by foul necromancers and dark priests or magi to slay their enemies. These beings are shadowy in form, some- times h

--- Skullbeast ---
The stead's 5-11 skulls that can all bite, up to 3 per opponent; bites act as a breath is composed of foul hellish vapors which chill the living, "Touch of Disruption" (Sorcerer base spell); 8'-9' tal

--- Skullpack ---
When it encounters )jving beings, it grabs work independently, but all remain a unit; bite drains 2 Con one, disrupting his flesh with its touch, and will not let go until its pts; each skull can fire

--- Spiderskull ---
C) veritable undead annies at its command. It knows all the Evil conversion poison that turns its victims to spiderskulls 1-3 days Cleric base, Necromancer base, and Evil Mentalist base spell lists.

--- Undead Mass ---
But rarely, it lingers long enough for a Necromancer to (RR); touch delivers additional cold critical; produces as many attempt to cast a spell which creates an undead. Though it only limbs as needed,

--- Veyrr ---
fear; breathes nether (NBr; cone length 300'; cone base "Control Undead" spells; commands any other sort of Class 100'; bolt range 500' use coldbreath if RMC fll is not used); 1-V u.ndead; all within 

--- Carac'rin ---
They came from dark Absolution" (Evil Cleric); use Large creature critical table. worlds, far away in the deep reaches of space.

--- Cresh'urim ---
Most utilize the principles of arcane magic as rtress critical; stinger injects a 15th level (var. G ) conversion well as a form of mental power that is totally different than poison; spells (Jxlvl PP

--- Dark Rythsisth ---
sight gives all viewing a "B" shock critical; spells (5xlvl PP); The material plane extension of a dark rythsisth is so foul that all solid matter within JO' must make an RR or have its form anything 

--- Glonn ---
This true form Bridge" (closed essence) and "Nether law" (RMC Ill); appears to be a huge mass of small grayish worms that writhe and humans viewing true form lose 1-10 Reasoning pts; use Super move. T

--- Pred Yrric ---
It can wield a weapon in each hand, though it can only sight gives "A" shock criticals; continuous "Mirrormind" make up to four attacks against a single opponent. Despite the (closed ment.

--- Rancor ---
There is a disease among the natharl'nacna that is akin to lycanthropy among humans. It causes any of these beings to become a rancor, although a rancor can assume its old form and all its abilities a

--- Wren'tac ---
Very often they wear armor (AT 17) Mastery" (Necromancer base) with 3xlvl PP; 6' tall; use Large that is enruned like their weapons, and made from the same creature critical table. material.

--- Astorith ---
E) It attacks prey by grappling with these tentacles, which give an muscle poison; bite drains 1-3 (temp) Strength pts; 3.5'-4' additional electric critical due to the powerful charge that runs wingsp

--- Brain Z'him ---
mental stat/round (temp and pot); 3'-4' long; reduce critical One of the least powerful brood members, a n'abis is a two severity by 1 level. legged creature with a small roundish body that has two la

--- Kraken-Drake ---
Kraken--drakes are huge unintelligent beasts resembling giant squids with dragon necks and heads where the squid's eyes would be. The entire beast is black in color.

--- Mric'atic ---
This beastis a sickly grey-green color, although some are black. It has smooth, mannish skin covering its quadrupedal body.

--- Octobat ---
C) reduction Cthugans: (-)-XU-8; tentacle's touch acts as a "Hold True" poison; 3' long, 4' wingspan; reduce critical severity by 1 level. spell (closed ess.

--- Pic'tarin ---
E) reduction poison; JO' long (including neck); use Large creature critical SLOG BEAST table. This creature is a giant spider with a long serpent's neck and head.

--- Runi'cruptos ---
C) paralysis poison (paralyzed 1 rnd/5%/ailure); 3' long. Strictly a subterranean creature, a runi 'cruptos is a small-bodied creature with a snake tail ending in a powerful stinger that injects paral

--- Slog Beast ---
al acid crits, JOO' range); acidic saliva gives extra acid crit with all bites; 4' long; use Large creature critical table. Slog beasts are large grey-green or blackish-green frog-like beings with two

--- Fungiss ---
Then they enter the victim's body through its puncture criticals; touch is toxic as per a 10th level (var . A) mouth and take control of all body actions (including speech) by reduction poison plus an

--- Jirlon ---
F) poison, can be substituted for the acid. All three heads bite, the largest RR failure: mild: paralyzed for 1-10 rounds; moderate: being especially fearsome because of its size (it bas a 3' wide par

--- Avinarc ---
that link is, no one knows for sure. Once a proud and noble race that once had entire lands to Scrugs are another strain of lesser ores.

--- Cherubim ---
They generally avoid civilized areas where professional limitations; highly resistant to extremes of natural they would be attacked on sight. The cherubim are their life-long heat and cold; death occu

--- Dragonians ---
A Minoth will often use his 30xlday; as a "Fire Bolt" with 100' range); 6'-8' tall, 12'-18' mentalist powers to take over the mind of a larger creature and wingspan; no suggested professional limitati

--- Plynos ---
limitations; average lifespan: 90 years; must totally immerse A regal buck's or lithe doe's head graces a human's body once per day in saltwater, -JO to all activities for each missed making this bein

--- Quishad ---
They are cruel and merciless to other races, and have the profession: no channeling users; even non-spellcasters kn.ow hunting instincts and senses of a shark. They often use sharks as spell lists 30%

--- Sibbicai ---
: 70 years. often times in the ruins left by their fonner masters.

--- Scrav ---
• Found in many areas but prefening dark marshes and deep jungles most, these insectoids make their lairs from a web-like secretion that they produce. They have four small.legs which they use for shor

--- Urloc ---
Such humans who have survived lifespan: immortal. their teachings are called wizard-priests.

--- Zrax ---
They most often dwell on the coasts to many poisons and diseases; no suggested professional of mysterious oceans in huge fortress cities. Their magic has limitations: average lifespan: 5 years.

